Panel;Wêze³;Przypadek;MXX (kNm/m);MYY (kNm/m);MXY (kNm/m);NXX (kN/m);NYY (kN/m);NXY (kN/m);QXX (kN/m);QYY (kN/m)
 2; 569; 3 (K);-23,46;-34,62;2,24;-55,16;-41,93;6,63;-14,47;3,18
 2; 570; 3 (K);-23,33;-33,90;1,02;-53,41;-40,72;5,30;-14,64;6,30
 2; 571; 3 (K);-23,00;-32,82;-0,18;-51,42;-39,63;4,07;-14,66;9,27
 2; 572; 3 (K);-22,49;-31,37;-1,33;-49,24;-38,66;2,94;-14,54;12,12
 2; 573; 3 (K);-21,80;-29,59;-2,44;-46,86;-37,77;1,93;-14,30;14,85
 2; 574; 3 (K);-20,95;-27,48;-3,47;-44,34;-36,97;1,05;-13,94;17,50
 2; 575; 3 (K);-19,94;-25,04;-4,44;-41,69;-36,23;0,31;-13,48;20,07
 2; 576; 3 (K);-18,78;-22,28;-5,32;-38,95;-35,53;-0,28;-12,92;22,57
 2; 577; 3 (K);12,63;66,32;4,36;-64,40;-86,18;13,21;13,48;-110,88
 2; 578; 3 (K);8,88;51,18;6,56;-62,12;-83,74;14,57;11,60;-100,13
 2; 579; 3 (K);5,26;37,69;8,03;-60,52;-81,10;15,75;9,32;-90,31
 2; 580; 3 (K);1,77;25,73;9,20;-59,49;-78,30;16,69;7,09;-81,09
 2; 581; 3 (K);-1,54;15,17;10,07;-58,91;-75,42;17,36;4,91;-72,46
 2; 582; 3 (K);-4,68;5,90;10,65;-58,66;-72,49;17,75;2,81;-64,39
 2; 583; 3 (K);-7,61;-2,20;10,96;-58,65;-69,56;17,87;0,80;-56,85
 2; 584; 3 (K);-10,32;-9,21;11,02;-58,78;-66,67;17,72;-1,09;-49,81
 2; 585; 3 (K);-12,81;-15,23;10,86;-58,98;-63,86;17,32;-2,86;-43,24
 2; 586; 3 (K);-15,06;-20,35;10,50;-59,16;-61,14;16,71;-4,49;-37,11
 2; 587; 3 (K);-17,07;-24,64;9,97;-59,28;-58,53;15,91;-5,99;-31,40
 2; 588; 3 (K);-18,84;-28,18;9,29;-59,29;-56,06;14,95;-7,34;-26,06
 2; 589; 3 (K);-20,37;-31,02;8,48;-59,14;-53,73;13,86;-8,54;-21,07
 2; 590; 3 (K);-21,65;-33,22;7,56;-58,81;-51,55;12,67;-9,58;-16,41
 2; 591; 3 (K);-22,69;-34,84;6,57;-58,27;-49,52;11,42;-10,48;-12,04
 2; 592; 3 (K);-23,50;-35,91;5,51;-57,51;-47,65;10,13;-11,22;-7,94
 2; 593; 3 (K);-24,07;-36,49;4,41;-56,51;-45,93;8,83;-11,81;-4,08
 2; 594; 3 (K);-24,41;-36,60;3,29;-55,29;-44,36;7,54;-12,26;-0,44
 2; 595; 3 (K);-24,53;-36,28;2,16;-53,83;-42,92;6,29;-12,57;3,00
 2; 596; 3 (K);-24,44;-35,55;1,04;-52,15;-41,63;5,10;-12,74;6,27
 2; 597; 3 (K);-24,14;-34,43;-0,05;-50,26;-40,45;3,98;-12,78;9,39
 2; 598; 3 (K);-23,66;-32,94;-1,11;-48,18;-39,39;2,95;-12,71;12,37
 2; 599; 3 (K);-22,98;-31,09;-2,12;-45,93;-38,42;2,03;-12,52;15,23
 2; 600; 3 (K);-22,13;-28,90;-3,08;-43,54;-37,53;1,23;-12,24;17,99
 2; 601; 3 (K);-21,12;-26,37;-3,97;-41,02;-36,72;0,55;-11,85;20,66
 2; 602; 3 (K);-19,95;-23,51;-4,79;-38,42;-35,95;-0,01;-11,39;23,24
 2; 603; 3 (K);13,10;68,67;3,91;-65,71;-87,67;11,84;11,93;-113,42
 2; 604; 3 (K);9,28;53,15;5,86;-63,32;-85,23;12,97;10,35;-102,68
 2; 605; 3 (K);5,57;39,29;7,18;-61,53;-82,60;13,97;8,40;-92,83
 2; 606; 3 (K);2,01;26,96;8,23;-60,27;-79,84;14,80;6,47;-83,56
 2; 607; 3 (K);-1,38;16,05;9,01;-59,43;-76,98;15,40;4,59;-74,84
 2; 608; 3 (K);-4,59;6,43;9,54;-58,92;-74,08;15,77;2,77;-66,66
 2; 609; 3 (K);-7,61;-1,97;9,83;-58,65;-71,16;15,90;1,03;-58,99
 2; 610; 3 (K);-10,41;-9,28;9,91;-58,53;-68,27;15,81;-0,62;-51,81
 2; 611; 3 (K);-12,98;-15,56;9,78;-58,50;-65,44;15,49;-2,17;-45,08
 2; 612; 3 (K);-15,32;-20,92;9,47;-58,49;-62,69;14,98;-3,61;-38,79
 2; 613; 3 (K);-17,42;-25,42;9,01;-58,44;-60,05;14,30;-4,92;-32,91
 2; 614; 3 (K);-19,27;-29,13;8,41;-58,30;-57,52;13,48;-6,11;-27,40
 2; 615; 3 (K);-20,88;-32,12;7,69;-58,04;-55,13;12,54;-7,18;-22,24
 2; 616; 3 (K);-22,24;-34,45;6,88;-57,63;-52,89;11,50;-8,11;-17,40
 2; 617; 3 (K);-23,35;-36,16;5,99;-57,04;-50,79;10,41;-8,91;-12,86
 2; 618; 3 (K);-24,22;-37,31;5,04;-56,25;-48,84;9,27;-9,58;-8,59
 2; 619; 3 (K);-24,85;-37,94;4,06;-55,25;-47,04;8,12;-10,12;-4,57
 2; 620; 3 (K);-25,25;-38,08;3,05;-54,05;-45,39;6,98;-10,53;-0,78
 2; 621; 3 (K);-25,42;-37,77;2,04;-52,64;-43,87;5,87;-10,82;2,82
 2; 622; 3 (K);-25,36;-37,03;1,03;-51,02;-42,49;4,80;-11,00;6,23
 2; 623; 3 (K);-25,10;-35,88;0,04;-49,21;-41,23;3,80;-11,06;9,47
 2; 624; 3 (K);-24,64;-34,34;-0,91;-47,23;-40,09;2,88;-11,02;12,57
 2; 625; 3 (K);-23,98;-32,44;-1,83;-45,08;-39,04;2,05;-10,88;15,54
 2; 626; 3 (K);-23,14;-30,18;-2,70;-42,80;-38,08;1,33;-10,65;18,40
 2; 627; 3 (K);-22,12;-27,57;-3,51;-40,41;-37,19;0,71;-10,33;21,15
 2; 628; 3 (K);-20,95;-24,62;-4,25;-37,93;-36,36;0,20;-9,94;23,81
 2; 629; 3 (K);13,52;70,74;3,45;-66,79;-88,90;10,45;10,42;-115,58
 2; 630; 3 (K);9,63;54,89;5,16;-64,32;-86,46;11,39;9,10;-104,85
 2; 631; 3 (K);5,86;40,71;6,32;-62,40;-83,86;12,23;7,44;-95,00
 2; 632; 3 (K);2,24;28,06;7,25;-60,95;-81,13;12,94;5,80;-85,69
 2; 633; 3 (K);-1,22;16,84;7,95;-59,90;-78,31;13,47;4,19;-76,90
 2; 634; 3 (K);-4,50;6,93;8,43;-59,17;-75,43;13,81;2,63;-68,63
 2; 635; 3 (K);-7,58;-1,75;8,70;-58,67;-72,53;13,95;1,14;-60,86
 2; 636; 3 (K);-10,45;-9,31;8,77;-58,34;-69,65;13,89;-0,29;-53,56
 2; 637; 3 (K);-13,10;-15,83;8,67;-58,11;-66,82;13,65;-1,62;-46,70
 2; 638; 3 (K);-15,51;-21,40;8,41;-57,92;-64,06;13,23;-2,87;-40,27
 2; 639; 3 (K);-17,68;-26,08;8,01;-57,72;-61,39;12,66;-4,01;-34,24
 2; 640; 3 (K);-19,60;-29,95;7,49;-57,46;-58,83;11,96;-5,05;-28,58
 2; 641; 3 (K);-21,28;-33,08;6,87;-57,10;-56,40;11,16;-5,98;-23,27
 2; 642; 3 (K);-22,70;-35,52;6,15;-56,61;-54,10;10,27;-6,80;-18,28
 2; 643; 3 (K);-23,88;-37,33;5,37;-55,96;-51,94;9,32;-7,50;-13,59
 2; 644; 3 (K);-24,81;-38,55;4,54;-55,15;-49,93;8,33;-8,10;-9,18
 2; 645; 3 (K);-25,49;-39,22;3,67;-54,15;-48,06;7,33;-8,58;-5,02
 2; 646; 3 (K);-25,93;-39,39;2,78;-52,96;-46,34;6,34;-8,96;-1,09
 2; 647; 3 (K);-26,14;-39,08;1,88;-51,58;-44,75;5,36;-9,23;2,63
 2; 648; 3 (K);-26,13;-38,33;0,99;-50,02;-43,30;4,43;-9,39;6,17
 2; 649; 3 (K);-25,90;-37,16;0,11;-48,28;-41,97;3,55;-9,47;9,53
 2; 650; 3 (K);-25,45;-35,59;-0,74;-46,38;-40,75;2,74;-9,45;12,73
 2; 651; 3 (K);-24,81;-33,64;-1,56;-44,32;-39,63;2,00;-9,34;15,80
 2; 652; 3 (K);-23,98;-31,32;-2,33;-42,14;-38,60;1,36;-9,16;18,74
 2; 653; 3 (K);-22,97;-28,64;-3,06;-39,86;-37,64;0,80;-8,90;21,57
 2; 654; 3 (K);-21,79;-25,62;-3,73;-37,49;-36,74;0,34;-8,58;24,30
 2; 655; 3 (K);13,88;72,53;2,99;-67,66;-89,91;9,07;8,95;-117,40
 2; 656; 3 (K);9,93;56,41;4,47;-65,15;-87,48;9,83;7,85;-106,69
 2; 657; 3 (K);6,12;41,95;5,47;-63,13;-84,90;10,53;6,46;-96,83
 2; 658; 3 (K);2,45;29,03;6,27;-61,54;-82,20;11,12;5,09;-87,50
 2; 659; 3 (K);-1,07;17,54;6,88;-60,32;-79,41;11,58;3,73;-78,66
 2; 660; 3 (K);-4,40;7,38;7,30;-59,40;-76,57;11,88;2,42;-70,33
 2; 661; 3 (K);-7,54;-1,54;7,55;-58,71;-73,70;12,02;1,15;-62,47
 2; 662; 3 (K);-10,46;-9,33;7,62;-58,20;-70,84;11,99;-0,06;-55,06
 2; 663; 3 (K);-13,17;-16,05;7,54;-57,80;-68,01;11,80;-1,19;-48,10
 2; 664; 3 (K);-15,64;-21,80;7,33;-57,46;-65,25;11,46;-2,25;-41,55
 2; 665; 3 (K);-17,87;-26,64;6,99;-57,12;-62,57;10,99;-3,23;-35,39
 2; 666; 3 (K);-19,85;-30,66;6,55;-56,74;-59,99;10,41;-4,12;-29,61
 2; 667; 3 (K);-21,59;-33,91;6,01;-56,29;-57,52;9,73;-4,92;-24,17
 2; 668; 3 (K);-23,07;-36,45;5,40;-55,73;-55,18;8,98;-5,63;-19,05
 2; 669; 3 (K);-24,29;-38,33;4,72;-55,04;-52,98;8,18;-6,24;-14,24
 2; 670; 3 (K);-25,27;-39,61;4,00;-54,20;-50,91;7,34;-6,75;-9,70
 2; 671; 3 (K);-26,00;-40,33;3,25;-53,19;-48,99;6,48;-7,18;-5,42
 2; 672; 3 (K);-26,49;-40,53;2,48;-52,02;-47,20;5,62;-7,51;-1,37
 2; 673; 3 (K);-26,74;-40,23;1,70;-50,67;-45,55;4,79;-7,75;2,46
 2; 674; 3 (K);-26,75;-39,48;0,92;-49,15;-44,03;3,98;-7,91;6,10
 2; 675; 3 (K);-26,55;-38,29;0,15;-47,47;-42,63;3,22;-7,98;9,56
 2; 676; 3 (K);-26,13;-36,69;-0,59;-45,63;-41,35;2,52;-7,98;12,85
 2; 677; 3 (K);-25,50;-34,69;-1,31;-43,66;-40,17;1,88;-7,90;16,01
 2; 678; 3 (K);-24,68;-32,32;-1,98;-41,56;-39,07;1,32;-7,76;19,03
 2; 679; 3 (K);-23,68;-29,59;-2,62;-39,36;-38,05;0,83;-7,55;21,92
 2; 680; 3 (K);-22,50;-26,50;-3,21;-37,08;-37,10;0,43;-7,29;24,72
 2; 681; 3 (K);14,18;74,04;2,52;-68,35;-90,73;7,68;7,51;-118,90
 2; 682; 3 (K);10,20;57,70;3,77;-65,83;-88,30;8,28;6,62;-108,21
 2; 683; 3 (K);6,34;43,02;4,62;-63,74;-85,74;8,85;5,48;-98,37
 2; 684; 3 (K);2,63;29,87;5,30;-62,03;-83,07;9,34;4,34;-89,01
 2; 685; 3 (K);-0,93;18,15;5,82;-60,68;-80,32;9,73;3,23;-80,14
 2; 686; 3 (K);-4,30;7,78;6,18;-59,61;-77,51;9,99;2,14;-71,75
 2; 687; 3 (K);-7,48;-1,35;6,39;-58,77;-74,67;10,11;1,09;-63,82
 2; 688; 3 (K);-10,46;-9,32;6,46;-58,10;-71,83;10,10;0,09;-56,34
 2; 689; 3 (K);-13,21;-16,22;6,40;-57,56;-69,02;9,96;-0,86;-49,28
 2; 690; 3 (K);-15,73;-22,13;6,23;-57,08;-66,25;9,69;-1,74;-42,64
 2; 691; 3 (K);-18,01;-27,11;5,95;-56,63;-63,57;9,31;-2,56;-36,38
 2; 692; 3 (K);-20,04;-31,25;5,57;-56,15;-60,97;8,84;-3,31;-30,49
 2; 693; 3 (K);-21,82;-34,60;5,12;-55,62;-58,48;8,28;-3,98;-24,94
 2; 694; 3 (K);-23,35;-37,23;4,61;-54,99;-56,12;7,66;-4,57;-19,72
 2; 695; 3 (K);-24,62;-39,19;4,04;-54,26;-53,87;6,99;-5,09;-14,79
 2; 696; 3 (K);-25,64;-40,52;3,43;-53,39;-51,77;6,29;-5,53;-10,15
 2; 697; 3 (K);-26,41;-41,28;2,80;-52,38;-49,79;5,57;-5,89;-5,77
 2; 698; 3 (K);-26,93;-41,50;2,14;-51,21;-47,96;4,85;-6,17;-1,62
 2; 699; 3 (K);-27,21;-41,21;1,48;-49,89;-46,25;4,15;-6,39;2,30
 2; 700; 3 (K);-27,26;-40,45;0,82;-48,40;-44,68;3,47;-6,52;6,03
 2; 701; 3 (K);-27,07;-39,25;0,17;-46,77;-43,23;2,83;-6,60;9,57
 2; 702; 3 (K);-26,67;-37,62;-0,46;-44,99;-41,88;2,24;-6,60;12,95
 2; 703; 3 (K);-26,06;-35,60;-1,07;-43,08;-40,64;1,70;-6,55;16,17
 2; 704; 3 (K);-25,25;-33,18;-1,65;-41,06;-39,50;1,22;-6,44;19,26
 2; 705; 3 (K);-24,25;-30,40;-2,19;-38,93;-38,42;0,80;-6,27;22,21
 2; 706; 3 (K);-23,08;-27,26;-2,70;-36,73;-37,42;0,45;-6,06;25,06
 2; 707; 3 (K);14,44;75,30;2,06;-68,89;-91,37;6,28;6,09;-120,12
 2; 708; 3 (K);10,42;58,77;3,08;-66,37;-88,95;6,75;5,40;-109,45
 2; 709; 3 (K);6,53;43,90;3,77;-64,22;-86,41;7,20;4,48;-99,61
 2; 710; 3 (K);2,78;30,56;4,33;-62,44;-83,77;7,59;3,58;-90,24
 2; 711; 3 (K);-0,81;18,66;4,75;-60,98;-81,04;7,91;2,68;-81,35
 2; 712; 3 (K);-4,22;8,11;5,05;-59,79;-78,26;8,12;1,81;-72,91
 2; 713; 3 (K);-7,43;-1,18;5,23;-58,82;-75,45;8,23;0,97;-64,93
 2; 714; 3 (K);-10,44;-9,31;5,29;-58,03;-72,64;8,23;0,16;-57,38
 2; 715; 3 (K);-13,23;-16,36;5,25;-57,37;-69,84;8,12;-0,60;-50,26
 2; 716; 3 (K);-15,78;-22,39;5,11;-56,78;-67,09;7,92;-1,32;-43,53
 2; 717; 3 (K);-18,10;-27,49;4,88;-56,23;-64,40;7,62;-1,98;-37,19
 2; 718; 3 (K);-20,17;-31,73;4,58;-55,67;-61,79;7,24;-2,58;-31,22
 2; 719; 3 (K);-21,99;-35,18;4,22;-55,07;-59,29;6,80;-3,13;-25,58
 2; 720; 3 (K);-23,56;-37,88;3,80;-54,39;-56,90;6,30;-3,61;-20,27
 2; 721; 3 (K);-24,87;-39,89;3,34;-53,62;-54,63;5,76;-4,03;-15,26
 2; 722; 3 (K);-25,92;-41,27;2,84;-52,73;-52,49;5,20;-4,39;-10,53
 2; 723; 3 (K);-26,72;-42,06;2,32;-51,71;-50,48;4,62;-4,69;-6,06
 2; 724; 3 (K);-27,27;-42,30;1,79;-50,55;-48,60;4,04;-4,93;-1,84
 2; 725; 3 (K);-27,58;-42,02;1,24;-49,24;-46,85;3,46;-5,11;2,17
 2; 726; 3 (K);-27,65;-41,26;0,70;-47,79;-45,23;2,91;-5,23;5,97
 2; 727; 3 (K);-27,49;-40,05;0,17;-46,19;-43,73;2,39;-5,29;9,58
 2; 728; 3 (K);-27,11;-38,40;-0,35;-44,46;-42,34;1,90;-5,30;13,02
 2; 729; 3 (K);-26,51;-36,35;-0,85;-42,60;-41,06;1,46;-5,26;16,30
 2; 730; 3 (K);-25,71;-33,90;-1,33;-40,64;-39,86;1,07;-5,18;19,44
 2; 731; 3 (K);-24,72;-31,08;-1,78;-38,57;-38,74;0,72;-5,05;22,45
 2; 732; 3 (K);-23,54;-27,89;-2,19;-36,43;-37,70;0,44;-4,88;25,33
 2; 733; 3 (K);14,64;76,30;1,60;-69,30;-91,87;4,89;4,71;-121,07
 2; 734; 3 (K);10,59;59,63;2,39;-66,78;-89,45;5,24;4,18;-110,42
 2; 735; 3 (K);6,68;44,61;2,93;-64,60;-86,92;5,57;3,49;-100,59
 2; 736; 3 (K);2,91;31,12;3,36;-62,76;-84,30;5,87;2,80;-91,21
 2; 737; 3 (K);-0,71;19,08;3,69;-61,22;-81,61;6,11;2,11;-82,30
 2; 738; 3 (K);-4,14;8,39;3,93;-59,94;-78,85;6,28;1,44;-73,83
 2; 739; 3 (K);-7,38;-1,04;4,07;-58,87;-76,07;6,37;0,80;-65,81
 2; 740; 3 (K);-10,42;-9,30;4,12;-57,99;-73,27;6,38;0,18;-58,21
 2; 741; 3 (K);-13,23;-16,46;4,09;-57,23;-70,49;6,30;-0,41;-51,03
 2; 742; 3 (K);-15,82;-22,60;3,98;-56,56;-67,74;6,15;-0,96;-44,25
 2; 743; 3 (K);-18,17;-27,79;3,81;-55,93;-65,06;5,93;-1,47;-37,84
 2; 744; 3 (K);-20,27;-32,12;3,58;-55,30;-62,45;5,64;-1,93;-31,80
 2; 745; 3 (K);-22,12;-35,63;3,30;-54,64;-59,94;5,30;-2,36;-26,09
 2; 746; 3 (K);-23,71;-38,39;2,97;-53,92;-57,53;4,92;-2,73;-20,71
 2; 747; 3 (K);-25,05;-40,45;2,62;-53,12;-55,24;4,51;-3,06;-15,63
 2; 748; 3 (K);-26,13;-41,87;2,23;-52,21;-53,07;4,07;-3,34;-10,84
 2; 749; 3 (K);-26,96;-42,69;1,83;-51,18;-51,03;3,63;-3,57;-6,30
 2; 750; 3 (K);-27,54;-42,94;1,41;-50,02;-49,12;3,18;-3,76;-2,01
 2; 751; 3 (K);-27,86;-42,67;0,99;-48,73;-47,34;2,74;-3,90;2,05
 2; 752; 3 (K);-27,95;-41,91;0,56;-47,29;-45,68;2,31;-3,99;5,91
 2; 753; 3 (K);-27,81;-40,69;0,15;-45,73;-44,14;1,90;-4,05;9,58
 2; 754; 3 (K);-27,44;-39,03;-0,26;-44,03;-42,72;1,53;-4,06;13,07
 2; 755; 3 (K);-26,85;-36,95;-0,65;-42,22;-41,39;1,18;-4,03;16,40
 2; 756; 3 (K);-26,06;-34,48;-1,02;-40,30;-40,16;0,87;-3,97;19,58
 2; 757; 3 (K);-25,07;-31,62;-1,37;-38,28;-39,01;0,61;-3,88;22,63
 2; 758; 3 (K);-23,90;-28,40;-1,70;-36,19;-37,92;0,38;-3,75;25,55
 2; 759; 3 (K);14,79;77,04;1,15;-69,59;-92,23;3,49;3,35;-121,77
 2; 760; 3 (K);10,72;60,27;1,71;-67,08;-89,81;3,73;2,98;-111,13
 2; 761; 3 (K);6,79;45,14;2,09;-64,88;-87,30;3,97;2,49;-101,31
 2; 762; 3 (K);3,00;31,54;2,40;-63,00;-84,70;4,18;2,00;-91,93
 2; 763; 3 (K);-0,63;19,39;2,64;-61,40;-82,02;4,35;1,52;-83,00
 2; 764; 3 (K);-4,08;8,59;2,80;-60,05;-79,29;4,47;1,05;-74,51
 2; 765; 3 (K);-7,34;-0,94;2,91;-58,92;-76,52;4,54;0,59;-66,46
 2; 766; 3 (K);-10,40;-9,28;2,94;-57,96;-73,74;4,54;0,16;-58,83
 2; 767; 3 (K);-13,23;-16,53;2,92;-57,13;-70,97;4,49;-0,26;-51,61
 2; 768; 3 (K);-15,84;-22,75;2,85;-56,39;-68,23;4,39;-0,65;-44,78
 2; 769; 3 (K);-18,21;-28,01;2,73;-55,70;-65,55;4,23;-1,01;-38,33
 2; 770; 3 (K);-20,33;-32,40;2,56;-55,02;-62,94;4,03;-1,34;-32,23
 2; 771; 3 (K);-22,20;-35,96;2,36;-54,32;-60,42;3,79;-1,64;-26,48
 2; 772; 3 (K);-23,82;-38,77;2,13;-53,57;-58,00;3,53;-1,91;-21,05
 2; 773; 3 (K);-25,18;-40,87;1,88;-52,74;-55,70;3,23;-2,14;-15,92
 2; 774; 3 (K);-26,28;-42,31;1,60;-51,82;-53,51;2,93;-2,34;-11,07
 2; 775; 3 (K);-27,13;-43,15;1,31;-50,79;-51,45;2,61;-2,51;-6,49
 2; 776; 3 (K);-27,72;-43,42;1,02;-49,63;-49,52;2,29;-2,64;-2,15
 2; 777; 3 (K);-28,07;-43,16;0,72;-48,34;-47,71;1,98;-2,75;1,97
 2; 778; 3 (K);-28,17;-42,40;0,41;-46,93;-46,03;1,67;-2,82;5,87
 2; 779; 3 (K);-28,04;-41,17;0,12;-45,38;-44,46;1,38;-2,86;9,57
 2; 780; 3 (K);-27,68;-39,50;-0,18;-43,71;-43,00;1,12;-2,87;13,10
 2; 781; 3 (K);-27,11;-37,40;-0,46;-41,93;-41,65;0,87;-2,85;16,47
 2; 782; 3 (K);-26,32;-34,91;-0,72;-40,04;-40,39;0,65;-2,81;19,68
 2; 783; 3 (K);-25,34;-32,03;-0,97;-38,06;-39,21;0,46;-2,74;22,76
 2; 784; 3 (K);-24,16;-28,78;-1,21;-36,00;-38,10;0,29;-2,66;25,71
 2; 785; 3 (K);14,89;77,54;0,69;-69,78;-92,46;2,10;2,00;-122,23
 2; 786; 3 (K);10,81;60,69;1,02;-67,27;-90,05;2,24;1,78;-111,60
 2; 787; 3 (K);6,87;45,49;1,25;-65,06;-87,54;2,38;1,49;-101,78
 2; 788; 3 (K);3,07;31,82;1,44;-63,15;-84,95;2,50;1,20;-92,40
 2; 789; 3 (K);-0,58;19,60;1,58;-61,51;-82,29;2,60;0,92;-83,47
 2; 790; 3 (K);-4,04;8,73;1,68;-60,12;-79,57;2,67;0,64;-74,96
 2; 791; 3 (K);-7,31;-0,86;1,74;-58,95;-76,81;2,71;0,37;-66,89
 2; 792; 3 (K);-10,38;-9,27;1,77;-57,94;-74,05;2,72;0,10;-59,24
 2; 793; 3 (K);-13,23;-16,57;1,75;-57,07;-71,29;2,69;-0,14;-51,99
 2; 794; 3 (K);-15,85;-22,85;1,71;-56,28;-68,56;2,63;-0,38;-45,13
 2; 795; 3 (K);-18,24;-28,16;1,64;-55,56;-65,88;2,54;-0,59;-38,65
 2; 796; 3 (K);-20,37;-32,59;1,54;-54,84;-63,27;2,42;-0,79;-32,52
 2; 797; 3 (K);-22,26;-36,19;1,42;-54,11;-60,74;2,28;-0,97;-26,73
 2; 798; 3 (K);-23,89;-39,02;1,28;-53,34;-58,32;2,12;-1,13;-21,27
 2; 799; 3 (K);-25,26;-41,15;1,13;-52,50;-56,00;1,95;-1,27;-16,10
 2; 800; 3 (K);-26,38;-42,61;0,97;-51,56;-53,81;1,76;-1,39;-11,22
 2; 801; 3 (K);-27,24;-43,46;0,79;-50,52;-51,73;1,57;-1,49;-6,61
 2; 802; 3 (K);-27,84;-43,74;0,61;-49,37;-49,78;1,38;-1,57;-2,24
 2; 803; 3 (K);-28,20;-43,48;0,43;-48,09;-47,96;1,20;-1,63;1,91
 2; 804; 3 (K);-28,31;-42,72;0,25;-46,68;-46,26;1,01;-1,67;5,84
 2; 805; 3 (K);-28,19;-41,49;0,07;-45,15;-44,67;0,84;-1,70;9,57
 2; 806; 3 (K);-27,84;-39,81;-0,10;-43,50;-43,20;0,68;-1,71;13,13
 2; 807; 3 (K);-27,27;-37,70;-0,27;-41,73;-41,82;0,53;-1,70;16,51
 2; 808; 3 (K);-26,49;-35,20;-0,43;-39,87;-40,54;0,40;-1,67;19,75
 2; 809; 3 (K);-25,51;-32,30;-0,58;-37,91;-39,34;0,28;-1,64;22,84
 2; 810; 3 (K);-24,34;-29,04;-0,72;-35,88;-38,22;0,18;-1,58;25,81
 2; 811; 3 (K);14,94;77,78;0,23;-69,87;-92,58;0,70;0,67;-122,45
 2; 812; 3 (K);10,85;60,90;0,34;-67,36;-90,16;0,75;0,59;-111,83
 2; 813; 3 (K);6,90;45,67;0,42;-65,15;-87,66;0,79;0,50;-102,02
 2; 814; 3 (K);3,10;31,96;0,48;-63,23;-85,08;0,83;0,40;-92,64
 2; 815; 3 (K);-0,55;19,70;0,53;-61,57;-82,42;0,87;0,31;-83,70
 2; 816; 3 (K);-4,02;8,80;0,56;-60,16;-79,71;0,89;0,21;-75,19
 2; 817; 3 (K);-7,30;-0,83;0,58;-58,96;-76,96;0,90;0,12;-67,11
 2; 818; 3 (K);-10,37;-9,27;0,59;-57,93;-74,20;0,91;0,04;-59,44
 2; 819; 3 (K);-13,23;-16,60;0,59;-57,03;-71,44;0,90;-0,05;-52,18
 2; 820; 3 (K);-15,86;-22,89;0,57;-56,23;-68,72;0,88;-0,12;-45,31
 2; 821; 3 (K);-18,25;-28,23;0,55;-55,48;-66,04;0,85;-0,19;-38,81
 2; 822; 3 (K);-20,39;-32,68;0,51;-54,75;-63,43;0,81;-0,26;-32,67
 2; 823; 3 (K);-22,29;-36,30;0,47;-54,01;-60,90;0,76;-0,32;-26,86
 2; 824; 3 (K);-23,92;-39,15;0,43;-53,23;-58,48;0,71;-0,37;-21,38
 2; 825; 3 (K);-25,30;-41,28;0,38;-52,37;-56,16;0,65;-0,42;-16,20
 2; 826; 3 (K);-26,42;-42,76;0,32;-51,44;-53,95;0,59;-0,46;-11,30
 2; 827; 3 (K);-27,29;-43,62;0,27;-50,39;-51,87;0,53;-0,49;-6,67
 2; 828; 3 (K);-27,90;-43,90;0,21;-49,24;-49,92;0,46;-0,52;-2,28
 2; 829; 3 (K);-28,26;-43,64;0,15;-47,96;-48,08;0,40;-0,54;1,88
 2; 830; 3 (K);-28,38;-42,88;0,08;-46,56;-46,37;0,34;-0,56;5,82
 2; 831; 3 (K);-28,26;-41,65;0,03;-45,03;-44,78;0,28;-0,56;9,57
 2; 832; 3 (K);-27,92;-39,96;-0,03;-43,39;-43,29;0,23;-0,57;13,14
 2; 833; 3 (K);-27,35;-37,85;-0,09;-41,64;-41,91;0,18;-0,56;16,54
 2; 834; 3 (K);-26,57;-35,34;-0,14;-39,78;-40,62;0,13;-0,56;19,78
 2; 835; 3 (K);-25,59;-32,44;-0,19;-37,84;-39,41;0,10;-0,54;22,89
 2; 836; 3 (K);-24,42;-29,17;-0,24;-35,82;-38,28;0,06;-0,53;25,86
 2; 837; 3 (K);14,94;77,78;-0,23;-69,87;-92,58;-0,70;-0,67;-122,45
 2; 838; 3 (K);10,85;60,90;-0,34;-67,36;-90,16;-0,75;-0,59;-111,83
 2; 839; 3 (K);6,90;45,67;-0,42;-65,15;-87,66;-0,79;-0,50;-102,02
 2; 840; 3 (K);3,10;31,96;-0,48;-63,23;-85,08;-0,83;-0,40;-92,64
 2; 841; 3 (K);-0,55;19,70;-0,53;-61,57;-82,42;-0,87;-0,31;-83,70
 2; 842; 3 (K);-4,02;8,80;-0,56;-60,16;-79,71;-0,89;-0,21;-75,19
 2; 843; 3 (K);-7,30;-0,83;-0,58;-58,96;-76,96;-0,90;-0,12;-67,11
 2; 844; 3 (K);-10,37;-9,27;-0,59;-57,93;-74,20;-0,91;-0,04;-59,44
 2; 845; 3 (K);-13,23;-16,60;-0,59;-57,03;-71,44;-0,90;0,05;-52,18
 2; 846; 3 (K);-15,86;-22,89;-0,57;-56,23;-68,72;-0,88;0,12;-45,31
 2; 847; 3 (K);-18,25;-28,23;-0,55;-55,48;-66,04;-0,85;0,19;-38,81
 2; 848; 3 (K);-20,39;-32,68;-0,51;-54,75;-63,43;-0,81;0,26;-32,67
 2; 849; 3 (K);-22,29;-36,30;-0,47;-54,01;-60,90;-0,76;0,32;-26,86
 2; 850; 3 (K);-23,92;-39,15;-0,43;-53,23;-58,48;-0,71;0,37;-21,38
